symbol,timestamp,price
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
EUR_SEK,2026-05-08 20:59:05.081000+00:00,10.865169999999999
USD_CAD,2026-05-08 20:59:05.083000+00:00,1.36764
USD_THB,2026-05-08 20:59:05.087000+00:00,32.207
SGD_CHF,2026-05-08 20:59:05.083000+00:00,0.61283
