Datetime,Close,High,Low,Open,Volume
2026-05-06 23:00:00+00:00,10.846699714660645,10.846699714660645,10.846699714660645,10.846699714660645,0
2026-05-06 23:01:00+00:00,10.847000122070312,10.85062026977539,10.847000122070312,10.85062026977539,0
2026-05-06 23:02:00+00:00,10.846699714660645,10.846699714660645,10.846699714660645,10.846699714660645,0
2026-05-06 23:03:00+00:00,10.847000122070312,10.850359916687012,10.84689998626709,10.84689998626709,0
2026-05-06 23:04:00+00:00,10.848299980163574,10.848400115966797,10.848299980163574,10.848400115966797,0
2026-05-06 23:05:00+00:00,10.847200393676758,10.849909782409668,10.847200393676758,10.847900390625,0
2026-05-06 23:06:00+00:00,10.848199844360352,10.848199844360352,10.847999572753906,10.847999572753906,0
2026-05-06 23:07:00+00:00,10.848099708557129,10.850939750671387,10.847209930419922,10.847900390625,0
2026-05-06 23:08:00+00:00,10.84749984741211,10.847800254821777,10.84749984741211,10.847800254821777,0
2026-05-06 23:09:00+00:00,10.848699569702148,10.850919723510742,10.846090316772461,10.847900390625,0
2026-05-06 23:10:00+00:00,10.84805965423584,10.849769592285156,10.847020149230957,10.848509788513184,0
2026-05-06 23:11:00+00:00,10.850199699401855,10.850199699401855,10.847000122070312,10.847000122070312,0
2026-05-06 23:12:00+00:00,10.847749710083008,10.847929954528809,10.8468599319458,10.8468599319458,0
2026-05-06 23:13:00+00:00,10.847979545593262,10.850199699401855,10.846659660339355,10.847660064697266,0
2026-05-06 23:14:00+00:00,10.848190307617188,10.850000381469727,10.847229957580566,10.847909927368164,0
2026-05-06 23:15:00+00:00,10.848219871520996,10.852399826049805,10.847880363464355,10.847880363464355,0
2026-05-06 23:16:00+00:00,10.84846019744873,10.852700233459473,10.847539901733398,10.848119735717773,0
2026-05-06 23:17:00+00:00,10.848159790039062,10.852499961853027,10.847220420837402,10.848489761352539,0
2026-05-06 23:18:00+00:00,10.849869728088379,10.852100372314453,10.84784984588623,10.848190307617188,0
2026-05-06 23:19:00+00:00,10.849379539489746,10.853099822998047,10.847410202026367,10.85004997253418,0
2026-05-06 23:20:00+00:00,10.850099563598633,10.852999687194824,10.848320007324219,10.848930358886719,0
2026-05-06 23:21:00+00:00,10.848119735717773,10.853300094604492,10.848119735717773,10.850110054016113,0
2026-05-06 23:22:00+00:00,10.846790313720703,10.85200023651123,10.846179962158203,10.848119735717773,0
2026-05-06 23:23:00+00:00,10.847450256347656,10.85219955444336,10.846779823303223,10.846779823303223,0
2026-05-06 23:24:00+00:00,10.846739768981934,10.849699974060059,10.846220016479492,10.84727954864502,0
2026-05-06 23:25:00+00:00,10.846799850463867,10.850000381469727,10.845890045166016,10.846929550170898,0
2026-05-06 23:26:00+00:00,10.847620010375977,10.851799964904785,10.846540451049805,10.846960067749023,0
2026-05-06 23:27:00+00:00,10.847220420837402,10.851699829101562,10.84613037109375,10.848979949951172,0
2026-05-06 23:28:00+00:00,10.847920417785645,10.85099983215332,10.846190452575684,10.848250389099121,0
2026-05-06 23:29:00+00:00,10.848939895629883,10.85219955444336,10.847419738769531,10.848939895629883,0
2026-05-06 23:30:00+00:00,10.846969604492188,10.85099983215332,10.846429824829102,10.848859786987305,0
2026-05-06 23:31:00+00:00,10.84801959991455,10.852499961853027,10.84689998626709,10.846929550170898,0
2026-05-06 23:32:00+00:00,10.848620414733887,10.852399826049805,10.847330093383789,10.84805965423584,0
2026-05-06 23:33:00+00:00,10.84706974029541,10.851699829101562,10.846559524536133,10.847990036010742,0
2026-05-06 23:34:00+00:00,10.847149848937988,10.851200103759766,10.846630096435547,10.847610473632812,0
2026-05-06 23:35:00+00:00,10.84745979309082,10.85159969329834,10.846739768981934,10.847310066223145,0
